Employee_ID,Age,Gender,Country,Job_Role,Experience_Years,Company_Size,Work_Hours_Per_Day,Meetings_Per_Day,Internet_Speed_Mbps,Work_Environment,Sleep_Hours,Exercise_Hours_Per_Week,Screen_Time_Hours,Stress_Level,Productivity_Score,Burnout_Risk
1,50,Other,South Korea,Software Developer,14,Large,8.4,4,123.4,Hybrid,6.2,0.6,9.1,Low,75,No
2,45,Female,India,Software Developer,2,Small,4.1,1,147.2,Office,8.7,0.0,13.9,Medium,76,No
3,33,Female,Australia,HR,9,Medium,7.1,3,14.4,Office,6.6,2.4,5.4,Medium,69,No
4,37,Female,USA,HR,14,Large,6.7,6,127.5,Hybrid,5.9,5.9,9.2,High,82,No
5,28,Other,UK,Data Analyst,4,Small,6.7,1,190.3,Home,8.8,4.9,7.7,High,100,No
6,23,Female,India,Designer,1,Medium,5.4,3,33.2,Office,6.5,0.2,13.2,Medium,49,Yes
7,25,Other,Australia,Software Engineer,1,Small,6.6,5,113.9,Hybrid,4.9,5.8,12.0,High,72,No
8,31,Male,Canada,Software Developer,3,Large,7.6,7,72.0,Home,6.9,3.1,13.7,Low,69,No
9,37,Male,Canada,HR,12,Large,5.6,4,121.5,Coworking,8.8,3.6,7.5,High,88,No
10,36,Male,Germany,Software Engineer,12,MNC,4.4,6,90.4,Coworking,6.0,1.8,5.1,Medium,59,Yes
11,38,Male,UK,Data Analyst,7,Small,8.4,0,125.1,Home,8.6,3.9,13.2,Medium,100,No
12,29,Male,USA,Designer,3,Large,6.0,7,80.5,Home,7.3,4.0,10.3,Medium,73,No
13,48,Female,India,Marketing,2,Large,6.8,4,194.6,Coworking,8.2,4.3,7.1,Low,99,No
14,48,Male,UK,Manager,8,Large,8.3,1,14.8,Coworking,4.5,0.2,10.7,Low,53,Yes
15,53,Male,UK,HR,3,Large,9.4,6,124.8,Office,6.7,1.2,13.5,High,74,No
16,43,Male,Australia,Marketing,1,MNC,7.7,5,130.3,Coworking,8.4,4.8,6.7,Low,99,No
17,32,Male,South Korea,Manager,9,MNC,4.7,0,70.4,Hybrid,4.6,1.4,8.8,High,51,Yes
18,34,Male,South Korea,HR,8,Large,5.8,5,107.0,Home,6.1,1.3,6.1,Medium,58,Yes
19,45,Female,South Korea,Marketing,14,Small,5.0,7,108.6,Hybrid,7.5,2.2,13.7,High,62,No
20,33,Male,UK,HR,6,MNC,7.0,0,38.1,Hybrid,9.0,1.6,13.8,High,80,No
21,44,Male,USA,Software Engineer,4,Medium,6.1,0,55.5,Office,4.7,2.9,13.9,Medium,53,Yes
22,25,Male,India,Designer,2,Large,8.6,2,56.0,Home,8.0,2.8,13.9,High,88,No
23,32,Male,UK,HR,0,Large,4.9,2,45.4,Hybrid,4.2,3.5,11.1,Medium,48,Yes
24,47,Male,China,HR,2,Small,8.9,3,132.6,Office,4.9,4.1,8.5,Medium,88,No
25,22,Female,China,Data Scientist,0,Small,6.0,0,49.7,Office,6.7,4.2,7.1,Medium,80,No
26,23,Female,USA,HR,0,MNC,4.6,3,116.1,Home,8.4,1.1,7.5,Medium,81,No
27,37,Male,Australia,Software Engineer,2,MNC,9.1,5,158.2,Home,7.2,0.5,6.5,High,91,No
28,41,Female,USA,Manager,2,Small,6.2,0,136.1,Home,4.0,1.0,9.9,High,55,Yes
29,37,Female,UK,Designer,12,Medium,5.3,0,13.4,Home,6.5,1.1,8.3,Medium,59,Yes
30,28,Male,Canada,Marketing,2,MNC,7.9,0,113.1,Coworking,6.5,3.8,7.3,Medium,89,No
31,29,Male,Japan,Software Developer,2,MNC,6.6,4,105.5,Office,6.9,3.0,6.8,High,75,No
32,40,Male,Germany,Data Scientist,3,MNC,4.1,0,18.3,Hybrid,9.0,2.8,7.5,Low,84,No
33,45,Female,Germany,Software Engineer,16,Medium,7.3,6,193.1,Office,8.3,1.8,8.5,Medium,93,No
34,54,Female,Australia,Marketing,2,Small,5.0,0,85.0,Home,8.2,5.6,5.6,High,100,No
35,53,Male,Australia,Marketing,14,Small,9.9,1,58.3,Home,5.5,1.9,12.6,High,73,No
36,50,Other,UK,Designer,9,Medium,8.9,2,58.7,Coworking,7.1,0.5,5.0,Medium,89,No
37,41,Female,Canada,Software Engineer,0,Medium,4.4,5,161.2,Office,8.5,2.0,8.4,Low,85,No
38,53,Male,South Korea,Manager,22,Small,8.0,2,98.5,Home,6.7,1.7,10.3,High,80,No
39,27,Other,Canada,Software Developer,5,Medium,7.2,4,109.2,Office,7.8,1.3,10.6,High,82,No
40,27,Male,South Korea,Data Analyst,4,Small,5.2,5,112.7,Coworking,7.2,4.4,13.8,High,65,No
41,51,Other,UK,Designer,18,Large,8.8,6,92.4,Hybrid,7.7,1.5,6.7,Medium,80,No
42,44,Male,India,HR,8,Large,8.1,0,42.9,Hybrid,4.8,1.5,9.9,High,61,No
43,22,Male,Canada,Manager,1,MNC,7.1,7,115.3,Hybrid,7.1,2.5,7.2,Medium,82,No
44,43,Other,China,HR,13,MNC,4.6,6,17.7,Office,8.3,4.2,9.3,Medium,68,No
45,47,Other,Canada,Data Scientist,15,Medium,8.8,3,42.9,Home,6.2,2.4,10.5,High,76,No
46,52,Male,Japan,Designer,9,Medium,7.8,1,105.2,Office,6.7,4.1,10.5,Medium,90,No
47,23,Female,South Korea,Software Engineer,0,Medium,9.2,7,188.6,Home,6.9,2.3,10.8,High,94,No
48,33,Other,Germany,HR,2,MNC,8.9,7,182.0,Home,5.0,0.4,5.9,Medium,75,No
49,44,Other,Germany,Software Developer,16,Large,7.9,4,170.5,Coworking,4.1,4.9,7.5,Medium,81,No
50,32,Male,Canada,Data Scientist,7,MNC,8.4,4,193.8,Home,6.7,2.5,10.1,Medium,94,No
51,39,Female,Japan,Marketing,16,Medium,8.7,7,174.8,Hybrid,6.8,1.4,11.1,Low,79,No
52,46,Other,Japan,Data Scientist,2,Small,4.6,0,111.5,Hybrid,6.5,2.3,7.7,Low,76,No
53,33,Male,USA,Data Analyst,8,Medium,9.1,0,70.7,Coworking,8.8,5.7,10.2,High,100,No
54,37,Other,UK,HR,4,Small,4.6,3,72.4,Hybrid,7.4,4.5,12.1,High,70,No
55,35,Female,South Korea,Data Scientist,9,Medium,6.6,6,113.7,Office,7.5,5.8,11.2,Low,84,No
56,38,Other,Japan,Marketing,5,Medium,4.5,4,52.3,Coworking,6.0,5.4,6.3,High,62,No
57,40,Female,Germany,HR,7,MNC,6.2,0,177.3,Coworking,5.2,5.4,10.3,Low,88,No
58,27,Female,South Korea,Designer,3,Small,4.5,4,81.8,Hybrid,7.5,1.5,8.0,Low,58,Yes
59,24,Female,China,Software Engineer,0,Medium,4.1,3,118.6,Coworking,7.7,4.6,12.4,High,76,No
60,22,Female,UK,Data Analyst,0,Medium,7.5,5,86.0,Coworking,6.4,0.5,9.8,Low,65,No
61,27,Female,USA,Data Analyst,1,Small,4.1,7,115.6,Office,5.6,0.3,13.3,Medium,30,Yes
62,40,Male,UK,Software Engineer,17,MNC,5.0,0,142.2,Hybrid,6.3,3.8,10.3,High,78,No
63,32,Male,Canada,Data Analyst,9,Medium,9.7,7,85.0,Home,4.5,2.0,6.5,Low,69,No
64,47,Other,Germany,HR,7,Large,6.1,1,60.5,Office,5.8,1.6,9.1,Medium,54,Yes
65,38,Other,China,Designer,8,MNC,5.9,3,124.5,Coworking,5.4,0.8,5.7,High,63,No
66,39,Female,India,Designer,4,MNC,7.7,1,25.7,Coworking,8.4,3.3,6.5,Medium,97,No
67,54,Male,South Korea,Data Analyst,0,MNC,6.9,6,38.6,Coworking,7.0,2.3,13.7,Medium,56,Yes
68,34,Female,Japan,Data Analyst,0,Small,6.8,2,35.4,Coworking,4.1,0.5,11.2,High,42,Yes
69,52,Other,South Korea,Software Developer,4,Large,10.0,4,121.2,Office,7.6,4.5,8.4,Medium,100,No
70,35,Other,Australia,Designer,8,Medium,4.8,2,62.2,Home,5.0,5.3,11.8,Medium,63,No
71,49,Other,India,Marketing,7,MNC,4.1,1,108.9,Home,7.9,3.1,12.7,High,75,No
72,26,Male,China,Data Analyst,2,Medium,6.4,7,101.2,Office,6.1,4.7,10.8,Medium,64,No
73,39,Male,Canada,Designer,14,Medium,6.6,6,148.0,Coworking,6.7,2.7,13.2,Medium,62,No
74,38,Female,Germany,Data Scientist,4,Small,8.8,1,186.1,Home,6.5,1.5,9.1,High,98,No
75,27,Other,UK,Marketing,4,Large,6.1,5,130.3,Coworking,5.2,0.5,6.2,Low,56,Yes
76,37,Other,Germany,Data Scientist,14,Small,6.4,7,131.8,Hybrid,4.9,2.1,13.1,Medium,52,Yes
77,48,Female,South Korea,Manager,17,Small,7.6,2,17.8,Office,4.8,1.7,6.6,Low,62,No
78,27,Female,India,Data Scientist,0,Small,7.2,3,49.2,Home,5.8,3.0,11.2,Medium,63,No
79,47,Female,Australia,Manager,24,Large,6.9,5,25.5,Office,8.4,5.5,5.5,High,94,No
80,22,Male,South Korea,Data Scientist,1,Large,8.5,4,197.4,Coworking,6.7,5.5,7.1,Low,100,No
81,44,Female,UK,Software Developer,13,Small,6.8,4,21.8,Home,4.7,0.8,11.2,Low,41,Yes
82,39,Male,Japan,HR,5,Medium,7.2,6,29.9,Coworking,7.7,1.1,10.1,Low,72,No
83,43,Other,UK,Software Developer,11,Small,5.4,4,122.8,Hybrid,7.4,4.7,9.5,High,76,No
84,43,Other,China,Data Scientist,1,MNC,7.3,7,92.0,Home,4.6,1.7,8.3,Medium,48,Yes
85,27,Female,Japan,Marketing,4,Large,9.6,4,29.3,Coworking,4.8,1.5,6.4,Medium,62,No
86,51,Female,China,Manager,23,Medium,9.4,6,19.8,Hybrid,4.1,4.2,14.0,Low,55,Yes
87,23,Female,South Korea,Software Engineer,1,MNC,9.8,3,11.0,Home,8.9,2.9,11.5,Low,91,No
88,23,Female,UK,Marketing,0,Small,7.2,1,63.2,Office,7.8,1.1,7.9,Medium,88,No
89,41,Female,Canada,Data Scientist,0,Medium,8.4,3,31.8,Office,7.1,1.7,10.2,High,72,No
90,34,Male,South Korea,HR,10,MNC,7.6,5,74.0,Hybrid,4.7,0.4,13.9,Low,36,Yes
91,23,Female,Canada,HR,1,Medium,5.5,4,10.5,Coworking,4.6,2.8,10.5,Low,45,Yes
92,51,Female,Australia,Marketing,16,Small,9.1,3,193.4,Hybrid,4.6,4.4,13.4,Medium,77,No
93,22,Male,Canada,Software Engineer,1,MNC,8.3,3,169.9,Home,4.7,4.8,6.8,Low,81,No
94,42,Male,Canada,HR,4,Large,8.9,2,130.4,Home,8.5,1.9,10.3,Low,100,No
95,29,Female,India,HR,6,MNC,8.3,7,97.9,Office,5.5,4.5,9.5,Low,72,No
96,38,Other,UK,Software Developer,0,MNC,6.3,1,113.3,Coworking,8.5,3.7,6.1,Medium,100,No
97,24,Female,China,Software Developer,2,Large,8.4,1,36.5,Coworking,8.0,3.7,9.8,Low,96,No
98,48,Other,Japan,Software Developer,3,Small,10.0,0,69.2,Hybrid,5.2,4.5,5.3,High,98,No
99,23,Other,UK,Software Developer,1,Large,7.0,1,75.0,Office,8.1,0.7,12.6,High,77,No
100,36,Other,India,Software Engineer,12,Large,7.2,4,53.6,Coworking,7.6,4.3,10.8,High,88,No
101,47,Male,Canada,Software Engineer,10,Large,7.6,3,44.5,Hybrid,8.5,3.5,8.6,High,86,No
102,47,Other,India,HR,13,MNC,7.7,1,121.4,Hybrid,6.5,3.7,5.2,Low,91,No
103,33,Female,Australia,Designer,11,Medium,7.4,3,160.1,Hybrid,4.1,3.9,11.9,Medium,58,Yes
104,30,Male,South Korea,Data Analyst,5,Medium,4.5,5,187.5,Coworking,8.6,2.7,6.0,High,92,No
105,47,Male,South Korea,Designer,13,Medium,5.1,6,185.0,Office,8.3,3.1,10.3,Medium,86,No
106,30,Other,China,HR,4,Medium,6.0,3,159.7,Hybrid,7.0,0.7,8.7,High,71,No
107,32,Other,Australia,HR,5,MNC,6.1,1,101.4,Home,8.6,3.5,5.3,Low,98,No
108,45,Male,China,Software Engineer,6,Large,5.0,4,183.8,Coworking,5.8,3.5,10.7,Low,63,No
109,42,Male,Australia,Marketing,16,Medium,5.1,3,97.2,Hybrid,6.8,5.2,9.8,Low,77,No
110,28,Female,Japan,Designer,0,Small,5.9,5,152.5,Coworking,5.0,5.4,6.8,Medium,69,No
111,50,Female,China,Software Engineer,15,Large,7.4,1,65.9,Coworking,7.6,3.2,9.8,Low,95,No
112,51,Female,Australia,Software Engineer,5,Large,8.6,3,44.6,Home,8.3,5.7,8.4,High,100,No
113,40,Other,India,Software Developer,13,Medium,7.2,0,14.8,Hybrid,4.8,4.3,10.9,Medium,71,No
114,24,Male,UK,Marketing,2,MNC,8.0,4,123.1,Home,5.7,3.4,13.0,High,68,No
115,29,Male,South Korea,Marketing,1,Medium,8.8,7,147.2,Home,8.3,5.0,8.6,High,100,No
116,42,Female,India,Software Engineer,13,MNC,5.8,7,26.5,Office,7.2,4.4,12.6,Low,56,Yes
117,40,Female,Germany,Software Developer,3,Large,7.9,1,179.6,Hybrid,8.1,2.1,7.3,High,100,No
118,24,Other,USA,Data Analyst,2,Large,4.2,3,128.6,Coworking,6.0,3.3,8.9,Medium,59,Yes
119,43,Other,Canada,Software Engineer,11,Large,4.8,1,117.5,Coworking,8.9,2.8,6.6,Medium,100,No
120,38,Female,South Korea,Data Scientist,13,Small,8.5,1,130.4,Hybrid,5.3,0.8,12.5,Medium,72,No
121,47,Other,Germany,Software Engineer,25,Small,9.4,1,61.7,Home,4.1,5.5,6.1,Medium,88,No
122,38,Other,USA,Software Developer,4,MNC,7.9,1,146.8,Hybrid,4.5,0.8,7.4,Low,61,No
123,27,Female,USA,Marketing,2,MNC,7.6,3,130.3,Coworking,6.5,3.4,12.5,Low,82,No
124,49,Male,UK,Software Developer,25,Small,6.5,1,41.6,Hybrid,7.7,0.5,10.4,Medium,68,No
125,50,Male,Japan,Designer,20,Large,9.0,2,77.6,Coworking,7.6,1.8,10.1,Medium,95,No
126,45,Female,India,Data Scientist,21,Small,4.8,7,50.8,Office,4.2,1.6,10.4,High,30,Yes
127,38,Male,UK,Software Engineer,12,MNC,4.9,0,156.5,Home,4.5,0.5,11.6,Medium,47,Yes
128,46,Male,China,Marketing,6,Large,4.5,1,161.9,Home,7.5,1.6,10.3,High,80,No
129,38,Female,India,Data Analyst,9,Medium,8.1,0,45.2,Hybrid,6.7,5.2,11.6,Low,93,No
130,38,Male,South Korea,Software Developer,4,Medium,8.2,5,196.3,Hybrid,8.5,3.9,11.2,Medium,100,No
131,47,Male,China,Data Scientist,14,Small,4.3,7,185.8,Hybrid,4.9,3.4,13.2,Medium,41,Yes
132,36,Female,South Korea,Software Developer,4,Small,8.4,2,185.6,Hybrid,8.9,5.7,9.3,Low,100,No
133,39,Female,India,Software Developer,9,MNC,7.9,5,123.3,Hybrid,5.2,0.7,5.7,Medium,68,No
134,47,Female,Canada,HR,22,MNC,6.4,6,69.9,Hybrid,6.7,4.7,7.9,Low,81,No
135,54,Other,China,Marketing,15,MNC,6.6,3,54.3,Coworking,4.1,5.2,5.2,High,67,No
136,34,Female,China,Data Analyst,12,MNC,6.3,7,161.8,Hybrid,9.0,2.1,11.9,High,79,No
137,37,Other,UK,Marketing,7,MNC,5.6,0,156.0,Home,6.1,2.5,11.6,High,67,No
138,24,Other,Australia,HR,0,Large,6.1,5,172.0,Hybrid,7.6,3.5,7.5,High,92,No
139,36,Female,South Korea,Marketing,8,Medium,4.7,0,139.1,Office,5.1,5.7,12.1,High,67,No
140,27,Female,UK,Manager,5,Small,7.6,5,126.5,Office,4.8,5.9,7.1,Low,84,No
141,50,Female,China,Designer,21,MNC,7.6,4,32.9,Hybrid,4.2,2.3,5.3,High,54,Yes
142,24,Other,Germany,Data Scientist,1,Large,8.8,5,194.1,Hybrid,8.4,5.6,14.0,Medium,100,No
143,39,Female,South Korea,Marketing,16,Small,4.9,7,98.0,Coworking,7.1,4.5,5.3,Medium,79,No
